feat_0,feat_1,target
-3.248977659704039,1.3657311224082012,3
2.9185975153850228,0.23277349960199026,2
-2.380330364909442,0.469680523271314,3
0.8695250311560889,0.9443128347793104,0
-1.3225744470932268,0.03338322539236474,6
2.8859988431682284,-0.14275057624996976,0
-3.6871409040008607,-0.2866392491482691,3
1.3678958157676981,-2.1912566906233257,4
-4.043388729559707,0.45890343121500954,3
-1.6933236654569745,1.9420939122512877,5
-1.8975198638619306,0.5433569462295091,3
2.0726974147475272,2.0903469171280524,2
4.147928712032727,0.032653583811488425,0
1.1552612755124387,1.7470705834374793,0
7.389574003565509,5.656989459032532,1
-2.5267779854768486,2.6394618106499217,5
-1.072349981597779,1.3225466779917752,5
-0.05023862239981396,-1.3080315712572128,6
-0.8524112112931347,-1.9655100732462243,3
2.4928547242209,0.15830221302078934,0
1.6655702289634626,-0.6484253133994364,2
1.7721255095804496,2.296628087814445,0
-3.1234915056952,-1.0204874111371562,3
2.9596975249205877,0.7699614372495058,0
5.07867104591616,5.406292984325697,1
-2.393247662939255,-0.753146392168829,3
2.638174090212726,0.6428506425348423,2
-3.27187766760368,1.8322213201216537,5
-2.379421172860956,-0.3974477988291394,3
-1.98602838836585,-2.1655559386424077,3
0.1812538442561201,-1.855815821361342,3
-0.6781598811246901,-0.4998434990451111,6
3.424395060784328,0.41714176095775213,0
-2.1116235644724086,0.33739869190623273,6
-0.24821823489538675,0.6582342703854291,6
-0.3144632800227333,0.4274858834824019,6
3.524650905648451,-0.23419323480424237,2
-1.5601166450069337,0.39861890169993447,6
-2.767223216866265,-2.147810883965282,3
2.7007067310062483,0.9593975684622797,2
-2.9310850942298146,0.3289442144872182,3
-1.847184206218784,-1.4458580507161125,3
-4.788706363886843,5.095193054481071,5
-3.676147917847869,0.07990575859767932,3
3.5642901427730975,0.9209817851149875,0
-1.272162021831331,-0.19074831332340933,3
-2.464607102996279,-0.20274680434872183,3
3.755473016807214,1.5172762113933793,0
1.6355611562713224,-1.7041533909324924,4
-4.473628490052911,1.9938927089291902,5
-2.4905906402537674,2.0048654727881434,5
3.723597055071235,1.0757594732187725,0
-2.9418246927966916,2.3179421088614407,5
-3.989851315590801,2.095303438414764,5
2.0270580175320143,-3.2012438208975182,4
-2.4753042507535876,-0.5096270133226738,3
-3.235883196356226,2.0571676909568843,5
-1.3500885483455773,-0.11228999630908723,6
-0.7538889634678457,-1.5308753200117629,3
2.5243824005647584,-0.926607299119259,2
4.575953432341002,0.6051078954253117,2
-2.6696329789720523,0.6303820225310801,3
8.878311031094661,6.214442672886601,1
2.5512017318179674,-2.9954493626630625,4
3.386930427411198,0.20321464147098792,0
3.9724574006026017,0.48096202601459465,0
-3.044698575526267,-0.33677401974539467,3
-2.4830083222366652,2.5595584628992682,5
3.004475966822825,-0.9410548084081215,4
-2.921916803415086,3.269795200211659,5
-2.600657250724614,-2.1424684828296923,3
4.423547017270491,-3.227119743767436,4
1.7031434818990991,0.38753401630924317,0
2.264420874499796,0.726261538683715,0
-3.5154585951765136,1.6035649035684332,5
-0.8879380402094987,-0.46140076314571377,6
-0.5825719720934209,-0.45019383268334,6
-0.7269675766456137,-0.30763030168165884,6
-0.12744571029695373,-0.33121857734983595,6
-0.4820256541708841,-1.0954717943430934,6
1.4756555869926296,-3.523232007914153,4
3.2268557775274678,-1.8902837610418957,4
1.9139697976376042,-1.3908605673327246,4
-1.0846693205386881,-0.06852081687813204,6
-3.0395490278987105,0.2605971575966411,3
-4.047270664846686,2.6170988475974544,5
1.1932173289872299,0.8336326345995805,0
-2.8320322097598747,1.5972663672186949,5
-3.9000312948728384,1.8637124694717984,5
-3.124009958564942,1.2556511018797567,3
3.694550188510721,-4.470037213013452,4
-3.483031189480284,2.5954238628460553,5
-2.5603689883667844,0.07738844881650968,3
0.039234485607262046,-1.1318050087636962,6
-4.982529103337203,3.1256793126243805,5
1.2531666753778508,0.14323791049181306,0
-5.694731894483593,1.5021566162741287,3
3.078284939268017,0.19326702490472789,2
-3.19929292896405,-0.22021059702100668,3
-3.4534190201727806,-1.037788285552858,3
7.350679064866507,7.426525420719784,1
-4.131311937663404,2.9115472930034314,5
-1.5859486886842091,0.4904264043713937,6
-1.7285823398715439,-2.088076591941952,3
-2.3152901086699216,-2.0051547580458657,3
1.2760256310348561,-1.5191215203169228,0
-0.8186974016728457,-0.1452660357958873,6
3.2181333641731187,-3.3930248578895488,4
6.1440001646892695,-4.604148174002155,4
3.4727224798434246,1.9025115744945913,2
-2.0300291097794747,-1.34937806164569,3
2.244369604077881,-2.286931062526032,4
-2.7123630081516623,2.7060523114550525,5
-3.168578560489582,2.3925177024373148,5
-3.7738398911272317,2.104958355237756,5
-2.614636955356086,-1.1774752310183993,3
1.1276622999023107,-0.7927922073820364,6
