pca_1,pca_2,pca_3,pca_4,class
-1.6195298795599256,0.45095009169874345,-1.7744541482708391,0.04374031124601556,5
-0.7991699349839552,1.8565530606792358,-0.9116901661671987,0.5480659724450638,5
-0.7484790927753523,0.8820388613867972,-1.1713942288914638,0.4110206716641456,5
2.35767263317844,-0.26997600938068544,0.24348869668940656,-0.9284499821666166,6
-1.6195298795599256,0.45095009169874345,-1.7744541482708391,0.04374031124601556,5
-1.5837072733679636,0.5691948836514883,-1.538286051341207,0.023749887467158438,5
-1.1014640297998561,0.6080149987840234,-1.0759147951434844,-0.3439592069436033,5
-2.2487076476621826,-0.4168347770060515,-0.9868371863582895,-0.0012033794186467805,7
-1.0868865233527099,-0.3085694951060078,-1.5181502079043492,0.0033149045443173005,7
0.654789524946074,1.6652073957838598,1.2094762238483887,-0.8246350066612865,5
-1.125204286455551,0.8605121934499302,-0.7722158721380106,0.464359348497183,5
0.654789524946074,1.6652073957838598,1.2094762238483887,-0.8246350066612865,5
-3.026861032322052,0.4935396915055448,-0.22016621530132896,0.5946257332267677,5
1.5388977301543847,-0.23512582864211787,0.0475060684060444,3.7923864387827417,5
1.5652680835125405,4.795247030492096,1.4150768998581578,1.3609437717487902,5
1.621248786971716,4.780069779618039,1.5210078252079293,1.408769227931897,5
1.1745656164945641,1.1427982171557762,2.3943131225028065,0.14540311755131718,7
2.695204740121198,1.2154942019635002,-0.1233949038292055,6.373258827116698,5
-0.7224383082083912,0.5046719140701387,-1.747083477048905,-0.6399522625048379,4
3.3353127554432542,0.7536687550166775,0.45816002546626694,5.140835803187016,6
0.6236446132149627,0.44011331171546253,0.9821746992518486,-0.6253937805109849,6
-0.20598453653144258,0.9679491803451122,0.45496381397627916,-0.1345860479628889,5
0.696407309769557,-0.39699873670220537,-0.2558758130992709,1.5238317608483016,5
0.0531056347363897,0.4165427428512389,-0.9324305897724177,-0.2544540486714972,5
-0.8785553431477114,0.38113318629521636,0.07155311057325309,0.1551236580741466,6
